,strain_id,strain,type,Rating,effects,description,Flavors
118,118,appalachian power,sativa,3.41,"euphoric, creative, focused, talkative, uplifted","appalachian power by soulshine cannabis is a potent sativa-dominant strain with a rich genetic lineage. by crossing the appalachian (grape punch x life saver) with the power (island sweet skunk x white widow), appalachian power was born. with a deep roster of genetic varieties at its back, it’s no surprise that appalachian power’s aroma and flavor offer a unique and rewarding palate of grape, banana, and pineapple. the effects pack a stimulating kick that is not for the faint of heart. it can cause mild paranoia in the uninitiated, but if the dosage is respected, this strain can suit all manner of physical activity and combat lethargy.","tropical, grape, sweet"
2096,2096,thai haze,sativa,3.41,"creative, energetic, happy, aroused, euphoric","thai haze is, you guessed it, a cross between thai and haze strains that creates a creative, euphoric head-based high. like many sativas, this strain takes longer to flower and may require some experience to grow since it can be fickle. space can also be a concern as plants grow large and tall (up to six feet). its yellow-green flowers should be sticky and will give off a spicy and skunky scent that haze lovers will recognize. the taste also includes an earthy sweetness that is telling of its thai genetics. effects can be slow to come on, but be careful: once they do, the almost psychedelic effects of “haze brain” are definitely possible side effects.","pine, pepper, sweet"
319,319,blue velvet,hybrid,3.41,"happy, relaxed, euphoric, uplifted, focused","blue velvet, also known as blueberry thai, is a 50/50 hybrid strain that is named for the lush appearance of its plants. bred by dj short, blue velvet is a cross between purple thai and afghani. its long branches bloom with large red-purple buds that take on a sweet fruity and floral aroma. invigorating euphoria blankets the mind while the body finds light relaxation, and its functional effects make it easy to either explore creativity or socialize with friends. ","sweet, earthy, diesel"
1692,1692,purple sour diesel,hybrid,3.41,"happy, euphoric, tingly, uplifted, relaxed","purple sour diesel is a fast-acting, heavy-hitting hybrid. a cross between a sativa, sour diesel, and an indica, purple kush, purple sour diesel embodies the full force of both strains. great for nighttime smoking, this strain has a quick onset and a distinctly medicated feel. featuring heavy head effects and a slight body high, purple sour diesel will energize your mind while leaving you physically relaxed. this strain features a sour, fruity aroma similar to sour grapes.","diesel, earthy, pungent"
1691,1691,purple skunk,hybrid,3.41,"happy, relaxed, sleepy, focused, giggly","purple skunk is an uplifting, sativa-dominant cross of skunk #1 and an older purple strain. its small to medium flowers will mature at 8 to 9 weeks and have a distinctive skunky smell and an earthy, almost wine-like taste. this strain leans heavily toward the active for a euphoric, cheerful buzz. purple skunk does have high thc levels, so it can be a bit intense for some patients when it comes to psychoactive effects.","earthy, pungent, skunk"
2275,2275,white widow,hybrid,3.41,"happy, relaxed, euphoric, uplifted, energetic","among the most famous strains worldwide is white widow, a balanced hybrid first bred in the netherlands by green house seeds. a cross between a brazilian sativa landrace and a resin-heavy south indian indica,  white widow has blessed every dutch coffee shop menu since its birth in the 1990s. its buds are white with crystal resin, warning you of the potent effects to come. a powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. white widow’s genetics have given rise to many other legends like white russian, white rhino, and blue widow. still, many growers prefer cultivation of the original white widow, which flowers in about 60 days indoors.","earthy, woody, pungent"
326,326,blueberry,indica,3.41,"relaxed, happy, euphoric, sleepy, uplifted","a true a-list cannabis strain. blueberry’s legendary status soared to new heights after claiming the high times’ cannabis cup 2000 for best indica. the long history of the strain is traced back to the late 1970s when american breeder dj short was working with a variety of exotic landrace strains. however, throughout the decades of blueberry’s cultivation the genetics have been passed around, due in large part to dj short working with multiple seed banks and breeders. the sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. many medical patients appreciate blueberry for its ability to suppress pain and relieve stress, while connoisseurs and growers admire the strain for its colorful hues and high thc content. ","blueberry, berry, sweet"
106,106,amnesia haze,sativa,3.41,"happy, euphoric, uplifted, energetic, creative","with earthy flavors of lemons and citrus, amnesia haze is a perfect strain to start your day with a smile. the uplifting, energetic buzz is one you won’t soon forget. its genetics have been traced back to the south asian and jamaican landrace strains, and this cannabis cup winner (1st place 2004, 1st place sativa cup 2012) has since been popularized in the coffee shops of amsterdam.","earthy, citrus, lemon"
330,330,blueberry cheesecake,hybrid,3.41,"happy, relaxed, uplifted, euphoric, tingly","with a smell distinctly of blueberry cheesecake, this strain was bred from blueberry and cheese. flowers are known to be lime green and dark violet in color with orange hairs and a large coat of crystals. ","blueberry, sweet, cheese"
1680,1680,purple panty dropper,indica,3.41,"relaxed, euphoric, happy, sleepy, giggly","a three-way cross of purple haze, oregon grape, and matanuskan mist, humboldt seed company’s purple panty dropper is named for its deep purple hues and supposed aphrodisiac effects. these beautiful indica-dominant flowers produce a rich, sweet aroma and an energizing, euphoric high.  ","grape, earthy, spicy/herbal"
104,104,amnesia,sativa,3.41,"happy, euphoric, energetic, creative, uplifted","amnesia is typically a sativa-dominant cannabis strain with some variation between breeders. skunk, cinderella 99, and jack herer are some of amnesia’s genetic forerunners, passing on uplifting, creative, and euphoric effects ideal for treating mood disorders. growers should expect a 9-10 week flowering period with moderate yields. this strain normally has a high thc and low cbd profile and produces intense psychotropic effects that new consumers should be wary of. ","earthy, sweet, skunk"
2117,2117,the sister,indica,3.41,"relaxed, uplifted, creative, euphoric, focused","the sister is an 80/20 indica-dominant strain that is said to be a rare “sister” cut of chemdawg. although led by indica genetics, the sister provides uplifting, clear-headed euphoria that leaves the mind awake and nimble for creative endeavors while also kick-starting the appetite. like her sister, this strain takes on a sweet citrus and sour diesel aroma.","sweet, diesel, citrus"
2126,2126,think different,hybrid,3.41,"happy, energetic, creative, focused, uplifted","think different is a durable plant with strong sativa effects that leave consumers feeling dreamy and relaxed. a colorful and well-rounded strain from dutch passion, think different provides a balance of hybrid genetics concocted by crossing ak-420 with the automatic-flowering capabilities of an undefined ruderalis strain. the sweet and spicy aroma will entice you, while the fast-acting, uplifting high will give a boost to your creativity and help you think outside the box. ","flowery, sweet, lemon"
2127,2127,thors hammer,sativa,3.41,"euphoric, creative, energetic, happy, aroused","thor’s hammer by snowhigh seeds is an uplifting sativa strain that combines genetics from vortex, cinderella 99, and acapulco gold. like a bolt of lightning commanded by the norse god himself, thor’s hammer delivers an electrifying blast of cerebral energy that awakens creativity and motivation. its lightweight body effects make this strain a great choice for daytime use, and patients needing to crush fatigue and depression like the giants of jotunheimr will likely find thor’s hammer to be the perfect weapon. you may also find a genetic variant of thors hammer from alaska that instead combines god bud and sour diesel in a more balanced indica-sativa hybrid cross.","sweet, pungent, menthol"
1707,1707,qrazy train,hybrid,3.41,"relaxed, creative, giggly, uplifted, hungry","qrazy train is a tga genetics creation whose crazy name refers to the complex genetics in this trainwreck, trinity, purple urkle and space queen mix. its diversity comes out in the strain’s unique flavor that includes spice and fruit notes. these flowers usually have deep amber-toned hairs and some purple coloration. a true hybrid, this train will have you feeling mellow and alert. ","lemon, citrus, earthy"
2063,2063,tjs cbd,hybrid,3.41,"focused, uplifted, creative, talkative, energetic",tj’s cbd is a high-cbd strain that is bred by tj’s organic garden in washington state. its subtle and mellow flavor profile is led by a skunky aroma and produces a sense of calm physical relaxation without clouding the mind. this variety took the prize for best high-cbd flower at the 2015 oregon dope cup.,"woody, earthy, pungent"
2059,2059,swiss,indica,3.41,"energetic, creative, relaxed, happy, uplifted",swiss refers to any indica strain that grows natively in the region of switzerland. these indigenous vareities (also called landraces) can exhibit indica or sativa characteristics depending on the climate and latitude at which it grows. ,"pungent, ammonia, berry"
1738,1738,red haze,sativa,3.41,"energetic, euphoric, relaxed, focused, creative","with roots going back to the 1970s colombian cannabis industry, this powerful sativa is worth a try. a cross between neville’s haze and colombian red, red haze is a slow grower. with a flowering time of 12 to 14 weeks, this strain may be difficult to find in dispensaries. if you do find it, however, be prepared for a very cerebral and inspiring experience. providing consumers with a pleasant, light-headed sensation, the effects of this strain are particularly long-lasting. red haze is a strictly daytime strain, as its effects can be similar to drinking a cup of coffee.","earthy, woody, pine"
1752,1752,ridge berry,sativa,3.41,"sleepy, relaxed, aroused, energetic, euphoric","ridge berry by marley natural is a succulent and stimulating sativa-dominant strain that imbues the consumer with energy right away, but leans back into alert sedation over time. the latent indica parentage consists of chem’s sister and sour dubble, and shows up as a warm airy sensation in the body, making this strain ideal for pain management. ridge berrys crystalline buds smell of pine, berry, and a touch of fuel. ","earthy, sweet, flowery"
289,289,blue hawaiian,hybrid,3.41,"happy, uplifted, relaxed, euphoric, energetic","the blue hawaiian strain is known for being quite a looker; its light green to orange buds are covered in rich orange and red hairs and are coated with sparkly trichomes throughout. bred from blueberry and hawaiian sativa, blue hawaiian is fruity and smooth. flowers appear at  about ten weeks and are described as giving a balanced high that has equal parts of its relaxing indica and uplifting sativa effects.","citrus, earthy, sweet"
155,155,bc sweet tooth,indica,3.41,"uplifted, happy, relaxed, sleepy, euphoric","developed in british columbia by bc bud depot, bc sweet tooth is an indica-dominant hybrid known for its quick flowering time and candy taste.  a hardy plant, this strain can be grown outdoors where it can flower in under 7 weeks, but it prefers the indoors where it may flower as soon as 6 weeks. the result of a cross with earlier generations of bc sweet tooth and classic sweet tooth, these sugary flowers are sure to satisfy your craving. the crystalline buds have a strong, sweet smell with a hint of citrus, and users report that this treat satisfies with a long-lasting, potent feeling that hits fast.","sweet, honey, tree, fruit"
1750,1750,richie rich,hybrid,3.41,"happy, euphoric, relaxed, hungry, creative",richie rich cannabis is a northern lights #5 crossed with skunk #1 hybrid.  this weed provides a nice body stone that is a favorite among medicinal users suffering from pain.,"sweet, lemon, tropical"
2296,2296,xj 13,hybrid,3.41,"happy, euphoric, relaxed, uplifted, creative","xj-13 is a sativa-dominant strain cherished for both its therapeutic potency and enjoyable euphoric buzz. this hybrid cross of jack herer and g13 haze induces unencumbered cerebral effects perfect for stimulating creativity and conversation. as if we needed another reason to love this lightweight sativa, xj-13 consistently exhibits a strong citrus aroma accented by notes of earthy pine. novice consumers looking for an easy, paranoia-free experience can depend on xj-13 as a surefire way to relieve stress and mood-related symptoms. ","citrus, sweet, pine"
1748,1748,rene,hybrid,3.41,"uplifted, happy, relaxed, energetic, creative","rene, named after the cannabis activist renee boje, is a potent hybrid strain popular in canada. sweet earthiness and pungent musk flavor this stress-relieving sativa, and patients may also find that rene effectively treats pain, spasms, and inflammation. rene is said to be a cross of skunk #1 and a himalayan indica.","earthy, sweet, pine"
290,290,blue haze,hybrid,3.41,"uplifted, euphoric, relaxed, happy, energetic","daughter of a blueberry indica and the original haze, this slightly sativa-dominant hybrid is a versatile strain. it has a pleasing taste and scent, and its furry dense buds produce full-bodied effects. blue haze is a great candidate for the regular consumer’s arsenal as it is appropriate for a broad spectrum of activities and provides the optimal balance between cerebral and physical effects.","blueberry, sweet, flowery"
2001,2001,sumo og kush,indica,3.41,"hungry, relaxed, talkative, uplifted, focused","sumos og kush is a multi-award-winning indica strain by sumo seeds. this powerful cut won 1st place kush and 1st place overall at the 2015 highlife cup in amsterdam. it also recently won 1st place outdoor at the 2017 il castello cannabis cup and 2nd place outdoor flower at the 2017 mallorcannabis cup. this mysterious cross of an unknown og kush hybrid and california kush (mendocino purps x la confidential) creates a pungent, citrusy, diesel-driven strain that retains og kush’s traditional euphoria and stony relaxation while deepening its overall complexity. if you’re lucky enough to snap off some sumos og, enjoy it later in the day or after work to maximize its relaxing effects.  ","earthy, pine, diesel"
1744,1744,redding og,hybrid,3.41,"talkative, euphoric, giggly, happy, hungry","redding og is a hybrid strain that won 3rd place in the 2014 los angeles cannabis cup. bright orange hairs sprout wildly from the white blanket of frosty crystals that give redding og a pale green color. this potent, long-lasting hybrid is energizing enough for social gatherings, but in high doses, redding og has the potential to be your day’s finale. its high thc content is particularly useful in warding off sleeplessness, appetite loss, depression, and stress.",none
2011,2011,super blue dream,hybrid,3.41,"happy, uplifted, relaxed, euphoric, energetic","super silver haze was crossed with blue dream to create this fun and potent hybrid. super blue dream is fast-acting and known for creating head-heavy effects. taking after its sativa heritage, this strain is energizing and great for daytime use. while super blue dream is powerful, it still allows you to focus and get things done. similar to its blue dream parent, super blue dream features a sour blueberry aroma. due to this strain’s head-heavy effects, it may not be a good choice for consumers who suffer from headaches. for those who are afflicted with stress or anxiety, however, super blue dream may be a good strain to try.","sweet, blueberry, tea"
1711,1711,querkle,indica,3.41,"relaxed, happy, sleepy, euphoric, uplifted","a cross between purple urkle and space queen, querkle from tga genetics is an 80/20 indica-dominant strain that carries a strong grape and berry aroma. querkle blooms with vibrant lavender hues and a heavy dusting of crystal resin that blankets its bulky colas in a frost-like coat. heavily euphoric and cerebral, querkle may be used during the day but is ideal for evening use as it relaxes muscles and guides the mind into sleep.","sweet, earthy, grape"
1736,1736,red dwarf,indica,3.41,"sleepy, euphoric, happy, relaxed, hungry","red dwarf is a rarer strain of cannabis that is an autoflowering plant. this trait comes from its cannabis ruderalis genetics, which is a third variety of the plant that’s usually not bred due to its lower thc content. the wonders of selective breeding from buddha seeds have resulted in seeds that grow to adulthood in an incredibly short six weeks. this strain’s squat, small plants are easy to grow in smaller spaces, making it a popular choice for growers who want something simple and fast. indica-dominant, red dwarf will eventually make you sleepy, but not without some relaxed euphoria first.","skunk, flowery, earthy"
2297,2297,xxx 420,indica,3.41,"relaxed, focused, tingly, talkative, happy","xxx 420 from ontario, canada is an indica cross between sweet tooth #3 and chemo. one of the frontrunners of the 2004 cannabis cup, xxx 420 is a reputable and hard-hitting indica with relaxing and euphoric effects. this strain is popular among growers who wait 45 to 50 days for xxx 420 to flower before harvesting.","sweet, berry, grapefruit"
2032,2032,superman og,indica,3.41,"relaxed, sleepy, euphoric, happy, hungry","superman og is a must try for cannabis connoisseurs. the product of tahoe og and bubba kush, this hardy indica is both incredibly potent and exceptionally well bred. following a long line of kush genetics, superman og provides a strong heavy body sensation and will put you to sleep in a hurry. while great for pain management, muscle spasms, and insomnia, superman og’s potent sedative effects make it a strictly nighttime strain. the aroma of this indica is nearly as strong as its effects. featuring a strong skunk-like scent and piney taste, superman og is extremely pungent and not for the novice patient.","earthy, pine, pungent"
2035,2035,supernova,hybrid,3.41,"happy, uplifted, relaxed, euphoric, creative","supernova, formerly called “chronic,” is an indica-dominant hybrid from amsterdam. other cuts of supernova have made their way to the u.s. with more sativa-slanted genetics. when grown properly, supernova’s thc content reaches up to 25%.","sweet, pungent, flowery"
2037,2037,suzy q,hybrid,3.41,"relaxed, focused, uplifted, talkative, happy","suzy q is a high cbd, low-thc strain with a piney taste that helps treat symptoms with little to no “high.” a great strain to add to the burgeoning world of cbd strains, this strain has be tested at upwards of 59:1 (cbd:thc). this hybrid is great for daytime use or by those who want to relieve chronic pain, nausea, arthritis, muscle spasms, and anxiety without psychoactive effects.     ","pine, earthy, spicy/herbal"
2039,2039,sweet baby jane,indica,3.41,"relaxed, tingly, giggly, happy, hungry","sweet baby jane by vashon island organics for cresco labs is an indica-dominant strain of the highest caliber. known for its creeping sedative body buzz, this strain glues consumers to their seats, infusing the limbs with deep relaxation that slowly teeters toward sleep. enjoy sweet baby jane’s citrusy terpene profile and potent stress relieving effects in the evening. this afgooey and old island indica cross can also help relieve anxiety, minor pain, appetite loss, insomnia, and nausea while leading the consumer toward rest.  ","citrus, sweet, pungent"
308,308,blue og,hybrid,3.41,"relaxed, happy, euphoric, hungry, uplifted","blue og from g13 labs is a flavorful hybrid following the lineage of blueberry f3, blue moonshine, and og kush. these dark, cone-shaped buds characteristic of og genes emanate notes of berry and citrus, and leave its consumer feeling euphoric and relaxed. though its effects are cerebrally targeted, blue og is known to also tackle pain, relax muscles, and relieve nausea. growers can expect an eight week flowering period with ideal conditions outdoors. ","blueberry, berry, earthy"
2042,2042,sweet cheese,sativa,3.41,"relaxed, happy, euphoric, creative, focused","sweet cheese is a 70% sativa strain that combines the potency and unique flavor profiles of cheese and black jack. bred by sweet seeds, this strain was designed to  induce long-lasting relaxation throughout the body, coupled with intense cerebral euphoria. sweet cheese is marked by the fragrant fusion of cheese and spice, a combination of aromas found in few other cannabis varieties. outdoor sweet cheese plants finish flowering in mid-october, while indoor plants bloom in 9 weeks.","cheese, sweet, pungent"
2046,2046,sweet dreams,hybrid,3.41,"sleepy, relaxed, hungry, uplifted, happy","sweet dreams is an aptly named indica-dominant hybrid that is known for its tendency to creep up on consumers, leaving them deeply relaxed to the point of sleepiness. though it has very strong aromas of skunk, berry, kush, and ammonia, the smoke is quite smooth, with a unique musty-earth flavor. this strain can be very effective for treating muscle spasms, tremors, and neuropathic pain.","earthy, skunk, pungent"
312,312,blue rhino,hybrid,3.41,"sleepy, relaxed, focused, uplifted, hungry","blue rhino is a potent cross of blueberry and white rhino that has a unique fruity aroma mixed with some skunky harshness. this plant may be of special interest to growers for its large flowers, which will get to their most impressive size when grown outdoors. patients like this strain for its balanced mix of head and body effects, making it an option for staying focused or wanting to relax, depending on your needs.","blueberry, sweet, berry"
391,391,buckeye purple,indica,3.41,"sleepy, relaxed, euphoric, focused, happy","buckeye purple by melvanetics is an indica-dominant cross of heavy genetics. created by breeding gorilla grape and granddaddy purple, this beautiful cross produces pink and purple colas that reek of sweet floral terpenes. buckeye purple is known for its deep relaxation and leaden couchlock, as well as its reasonable flowering time of approximately 7 to 8 weeks.","tropical, diesel, grape"
1184,1184,kryptonite,indica,3.41,"relaxed, happy, euphoric, creative, giggly","a mysterious clone-only hybrid, kryptonite is rumored to be a cross between mendocino purps and killer queen created by breeders at the bay area’s famed oaksterdam university. known to produce thc levels up to of 25%, this indica-dominant strain is a good choice for those seeking to treat serious pain without the extreme sleepiness associated with some pure indicas. kryptonite features a musty tropical fruit smell and a sweet, sugary flavor reminiscent of cinderella 99, one of the parent strains to killer queen. ","flowery, tropical, sweet"
511,511,china yunnan,indica,3.41,"uplifted, happy, relaxed, euphoric, sleepy","china yunnan is where deep indica relaxation meets the sweet, woody sativa varieties of south asia. from the southern chinese province of yunnan, ace seeds cultivated this 80% indica strain for its heavy resin production and resilience in the garden. china yunnan’s onset begins with a happy headspace and heightened sensory awareness, followed by a full-body calm that eases pain, sleeplessness, and anxiety. this hardy indica grows best indoors with a 8 to 9 week flowering time, but outdoor gardens in warm, dry climates tend to fare well also.","sweet, earthy, cheese"
495,495,cherry durban poison,hybrid,3.41,"uplifted, giggly, sleepy, aroused, euphoric","cherry durban poison is a hybrid strain that brings a unique cherry flavor profile to the high-energy qualities of durban poison. true to its sativa roots, cherry durban poison delivers a rush of cerebral euphoria that lifts the mood without clouding the mind. ","flowery, citrus, sweet"
497,497,cherry grapefruit,hybrid,3.41,"creative, happy, relaxed, tingly, uplifted",cherry grapefruit by kera seeds is a super fruity sativa-dominant hybrid that brings out the best qualities of parent strains cherry and grapefruit. the effects position themselves with gentle full-body relaxation and a nice head-buzz that would be best for anyone needing muscle relief and mood elevation. this easy-to-grow strain will flower in 9 weeks and is suitable for growing both indoors or outdoors.  ,"berry, sweet, flowery"
1327,1327,maple leaf indica,indica,3.41,"relaxed, sleepy, tingly, euphoric, happy","the maple leaf is a heroic strain of indica with fat leaves, plump buds, and caked with crystals. mls lineage spans from the hindu kush region in afghanistan and has survived through some turbulent times due to the invading former ussr in the 80s. the taste of the herb is sweet, somewhat citrusy, and smells of incense. the effect of this wonderful strain has been known to act as an aphrodisiac and gives off a very relaxing and sensational body buzz. coupled with a loved one and some good music or a good movie, maple leaf indica can help provide the right mood for romance...or if enjoyed too much, can bring on a deep sleep right in the middle of your plans.     ","sweet, butter, woody"
500,500,cherry limeade,hybrid,3.41,"relaxed, euphoric, happy, tingly, uplifted",cherry limeade is a hybrid strain that competed in the 2014 l.a. cannabis cup.,"sweet, lime, citrus"
1323,1323,mango kush,hybrid,3.41,"happy, relaxed, uplifted, euphoric, giggly","the mango kush marijuana strain tastes similar to the actual mango fruit, with a distinct kush flavor and hints of pine on the exhale. its buds are covered with orange pistils and are described as very dense. the plant has an average growth height of 4-5 feet. flowering is 9-11 weeks and is a favorite with both indoor and outdoor growers. the buds have thick shiny trichomes which are evident when the bud is broken apart. the smell and taste are the same and described as mango and banana. thc content has been measured up to 16% and cbd at 0.3%. ","mango, sweet, citrus"
695,695,dream lotus,hybrid,3.41,"happy, uplifted, relaxed, euphoric, energetic","dream lotus by bodhi seeds is a hybrid strain that was designed to recreate the widely cherished qualities of blue dream, but with an accentuated chunky bud structure. this rendition combines a santa cruz cut of blue dream with bodhi’s snow lotus, resulting in a strain that maintains uplifting effects and a fragrant blueberry aroma. hashy spice and sweet herbal notes can be detected on the exhale in a flavor that ushers in blissful effects perfect for stress relief any time of the day.","spicy/herbal, woody, tea"
885,885,goo,indica,3.41,"relaxed, sleepy, hungry, euphoric, happy","goo, not to be confused with afgoo, is an 80% indica strain that mixes a sweet-tasting blueberry with the hashy, resinous hindu kush. deep physical relaxation is coupled with slight cerebral energy, delivered alongside a fruity, blueberry flavor with earthy and sour notes. you may begin to feel pangs of hunger settle in with this indica, making it a suitable medicine for those needing appetite boost. patients treating insomnia, pain, and muscle spasms may also find relief in the heavy, sedating effects goo has to offer. cultivators should harvest goo after a 7 to 8 week flowering time indoors or in early october for outdoor gardens.","berry, blueberry, sweet"
1318,1318,mandala 1,hybrid,3.41,"euphoric, creative, energetic, uplifted, focused","bred by mandala seeds, mandala #1 is a hybrid strain with genetic roots in south africa, new zealand, and northern india. dreamy euphoria illuminates the mind, waking creativity and happiness with a sweet fragrance of apples, raspberry, and mint. mandala #1 may hit like a sativa, but to the delight of commercial growers, it grows like an indica with a short flowering cycle of just 55 to 60 days ","apple, minty, berry"
886,886,gooberry,indica,3.41,"sleepy, aroused, hungry, relaxed, happy","gooberry is an indica-dominant strain descended from legendary parents afgoo and blueberry. this fruity, spicy strain will leave you giggling on your couch with upward of 20% thc. consumers highly recommend this strain for night time use to treat pain and insomnia, and its sure to leave you with the munchies. like most indicas, gooberry will flower in 7-9 weeks with a short, bushy structure. ","blueberry, berry, sweet"
1311,1311,magnum pi,sativa,3.41,"uplifted, focused, energetic, euphoric, creative","magnum pi is a sativa-dominant strain with its genetic origins cloaked in a hawaiian shirt of pure mystery. this stimulating cross, supposedly created by seahorse gardens near the puget sound, exhibits hints of citrus and sweet earth on the nose. the effects have been described as clear-headed and stimulating, which makes this strain a perfect accompaniment for outdoor activities.","tropical, citrus, orange"
887,887,good medicine,hybrid,3.41,"uplifted, energetic, happy, focused, talkative","the name says it all with this cbd rich strain. bred by cbd specialist bodhi, good medicine crosses a green crack and tres dawg hybrid with the high-cbd harlequin sativa. offering sweet flavors of mango and candy followed by a mellow and relaxing high, good medicine is great for solving medical needs without keeping you on the couch.","earthy, spicy/herbal, citrus"
505,505,cherry sherbet,hybrid,3.41,"sleepy, giggly, aroused, talkative, tingly","cherry sherbet is an indica-dominant delight. this stinky sweet herb is the genetic cross of sour sherbet and cherry pie. these heavy-hitting buds will smoke sweet and tangy, settling behind the eyes and melting over the body, coating the smoker in a warm physical buzz coupled with an unlifted cerebral haze. pack a bowl of this fine flower to help combat depression and chronic anxiety.     ","berry, sweet, diesel"
901,901,grape ape,indica,3.41,"relaxed, sleepy, happy, euphoric, uplifted","grape ape, propagated by apothecary genetics and barney’s farm, is a mostly indica strain that crosses mendocino purps, skunk, and afghani. named for its distinct grape-like smell, this indica is known for providing carefree relaxation that can help soothe pain, stress, and anxiety. its dense, compact buds are wreathed in deep purple leaves which darken as this indica reaches full maturation following its 7 to 8 week flowering time.","grape, sweet, berry"
493,493,cherry cream pie,hybrid,3.41,"relaxed, euphoric, creative, energetic, uplifted","cherry cream pie is the decadent indica-dominant hybrid offspring of cherry pie and cookies and cream. with pronounced og undertones and hints of tartness and pine, cherry cream pie’s terpene profile is half the experience. the strain’s calming effects permeate both mind and body, offering consumers carefree, mid-level sedation. enjoy cherry cream pie later in the day as couch-lock and appetite stimulation are two common side effects after consumption. this delicious strain will mellow aggravated muscles as well as minor aches and pains. ","sweet, chemical, pungent"
904,904,grape crush,hybrid,3.41,"happy, uplifted, talkative, hungry, energetic","grape crush (or grapekrush) is an indica-heavy hybrid strain with just enough sativa to keep the high energizing and smooth. this plant was bred by dj short to be an outdoor grower, but with the right tlc, grape crush delivers indoors as well. the strain comes from blueberry parents and inherited their purple to blue coloring and their namesake berry flavor. grape crush plants flower in 8-9 weeks, and the buds are intended to produce a slow-moving high that relaxes the body and inspires the mind.","grape, sweet, berry"
677,677,double dutch,hybrid,3.41,"hungry, uplifted, talkative, creative, energetic","double dutch is a classic hybrid strain bred by magus genetics who crossed a pre-2000 chronic female with a warlock father. this 60/40 indica-dominant split has a strong dutch heritage with emphasized indica traits. in its vegetative cycle, double dutch erupts into a bushy plant with thick leaves and strong stems, while its flowering stage gives rise to sativa-like popcorn buds after 8 to 9 weeks. with an aroma that brings to mind fresh fruit and fields of wildflowers, double dutch is cherished for its powerfully relaxing effects that flood both body and mind without causing too much drowsiness.","tar, earthy, sweet"
907,907,grape god,hybrid,3.41,"relaxed, happy, euphoric, uplifted, sleepy","grape god is an indica-dominant hybrid that combines god bud and grapefruit genetics. as its name suggests, this strain has a sweet grape aroma with earthy notes that activate on the exhale. powerful, long-lasting euphoria knocks out stress, leaving your mood elevated and your body relaxed. ","grape, berry, sweet"
1279,1279,locktite,hybrid,3.41,"relaxed, happy, uplifted, tingly, euphoric","using their mt. rainier hybrid and crossing it with the award-winning gorilla glue #4, redeyed genetics created the sticky locktite. scents of citrus and diesel overwhelm you as you enjoy this tasty flower engulfed in trichomes. taking after the gorilla glue in effect and certainly in resin production, this is an upbeat and powerful strain.","diesel, citrus, woody"
525,525,chocolope,sativa,3.41,"happy, uplifted, energetic, focused, euphoric","dna genetics developed chocolope by crossing chocolate thai with cannalope haze to create their homage to the chocolate strains of the 1980s. the hefty sativa buds give earthy, sweet coffee flavors that provide a dreamy, cerebral effect. consumers report a strong, euphoric mental shift that is great when coping with depression or stress.","coffee, earthy, sweet"
909,909,grape krush,indica,3.41,"happy, uplifted, talkative, hungry, energetic","grape crush (or grapekrush) is an indica-heavy hybrid strain with just enough sativa to keep the high energizing and smooth. this plant was bred by dj short to be an outdoor grower, but with the right tlc, grape crush delivers indoors as well. the strain comes from blueberry parents and inherited their purple to blue coloring and their namesake berry flavor. grape crush plants flower in 8-9 weeks, and the buds are intended to produce a slow-moving high that relaxes the body and inspires the mind.","grape, sweet, berry"
1271,1271,lime purple mist,indica,3.41,"happy, relaxed, tingly, sleepy, uplifted","lime purple mist is an indica-dominant strain with deeply relaxing qualities that taper in slowly over time. its soothing, full-body qualities are a great way to unwind after a long day or for banishing bad moods. the high-thc content of lime purple haze shakes the appetite wide awake, so be sure to have provisions prepared.","berry, lime, sweet"
1260,1260,lemonberry,hybrid,3.41,"euphoric, energetic, giggly, happy, creative","dabney blue and lemon thai come together to produce lemonberry by fusion seeds. dabney blue imparts its berry flavors and the sweet aroma of blueberry muffins, typical of strains influenced by dj short’s blueberry line. lemon thai adds its own touch of citrus flavors and uplifting effects. lemonberry is a strain rooted in the pacific northwest and is desired for its collage of flavors and balanced effects. the sativa influence in this hybrid helps form a happy head buzz that initiates bouts of creativity and the giggles.","lemon, sweet, blueberry"
1256,1256,lemon skunk,hybrid,3.41,"happy, uplifted, relaxed, euphoric, focused","lemon skunk was conceived from two separate skunk phenotypes that displayed exceptionally zesty lemon traits. the skunky, citrus flavor draws you in immediately, and the happy, energetic buzz will shake you out of any funk. dna genetics has developed lemon skunk as great strain for combating depression and stress.","lemon, skunk, citrus"
1253,1253,lemon og,hybrid,3.41,"relaxed, euphoric, happy, sleepy, uplifted","what this skunky indica lacks in longevity it makes up for in speed. a cross between the mythical las vegas lemon skunk and the og #18, lemon og provides users with a quick-acting sleepy head sensation. while lemon og has inherited a skunky aroma from its kush relatives, this particular strain is mild tasting and pleasant smelling with fruity undertones. lemon og tends to feel more psychoactive than other members of the kush family, but still offers a heavy, medicated feel. the strain is great for stress relief and increasing appetite. these plants usually flower in 8-10 weeks.","lemon, citrus, earthy"
