,strain_id,strain,type,Rating,effects,description,Flavors
1743,1743,redd cross,hybrid,5.0,"sleepy, relaxed, tingly, hungry","redd cross is an indica-dominant hybrid bred by genetics gone mad that crosses spirit of ’76 with an undefined afghani indica. it was named as a result of a strain-naming contest and much of the development of redd cross is attributed to the late dan christensen. its large, colorful colas give off a spectrum of red and pink hues and produce sweet floral flavors that elevate your mood with a warm glow of effects. medical patients will find comfort in this strain’s ability to relieve pain without completely debilitating the other senses.","earthy, chemical"
1747,1747,remo chemo,hybrid,5.0,"talkative, uplifted, creative, euphoric, giggly","remo chemo is another collaborative strain from dinafem seeds. created by esteemed canadian grower, urban remo, remo chemo is technically a backcross of itself, but the base genetics consist of ubc chemo and bubba kush. adored for its high thc content, remo chemo also offers a kush-forward terpene profile that contains aromas of earth, gas, and pepper. as the name might suggest, remo chemo is adept at assisting with side effects of chemotherapy by stimulating appetite, reducing nausea, and curbing pain.  ","spicy/herbal, pepper, pungent"
1075,1075,jt15,indica,5.0,"relaxed, sleepy, happy, hungry, uplifted","jt15 is an indica kush cross with a powerful onset and a deep, earthy, woody aroma. its relaxing qualities make jt15 a preferred strain for patients treating pain, insomnia, and stress.",none
611,611,dj andy williams,sativa,5.0,"creative, energetic","dj andy williams (also known as dj andy) is a heartfelt dedication in the guise of a powerful sativa-dominant strain. this strain was named in memoriam of dj andy williams, also known as dj a-dog, who passed away of leukemia at the age of 38. a cross between blue dream and super lemon haze, dj andy delivers bright flavors of citrus, vanilla, and herbs. dj andy starts with a creative mental state and an invigorating body buzz. the physical effects persist and mellow with time while remaining uplifting, keeping the consumer off the couch. this is a solid strain to help manage stress and depression without debilitating sedation.  ",none
965,965,hammerhead,indica,5.0,"sleepy, aroused, tingly, relaxed, uplifted","hammerhead is a pungent indica-dominant strain that develops dense, trichome-coated buds with a small boost of cbd. these physical attributes speak to the strain’s white rhino and medicine man genetics, which also lend hammerhead effects of sleep-inducing, full-body relaxation. its buds are dense and deep green with a showing of light amber hairs. hammerhead exhibits notes of fruit, honey, and pungent dankness, making it as appetizing as it is effective.  ","diesel, berry, earthy"
961,961,guptilla,hybrid,5.0,"happy, relaxed, euphoric, focused, sleepy","guptilla is a potent indica-dominant cross bred by colorado seed inc. with the glittering trichome laden foliage of gorilla glue #4 intermixed with the “dr. of dankness” gupta kush, this strain raises kushy, full-bodied indica effects to a level that few have the privilege of enjoying. anticipate pungent floral and earthy overtones with pronounced cerebral headiness that is anchored to the earth by the physical weight this strain places on the limbs. enjoy this strain at the end of the day, as its effects are very sedating.   ","grape, pepper, orange"
883,883,golden tiger,sativa,5.0,"talkative, uplifted, energetic, euphoric, happy","golden tiger is a resinous flower created from two thai strains and two separate malawi cuts. bred by ace seeds, this pure sativa flower is a complex blend of koh chang thai and hmong thai crossed with malawi and 3rd generation malawi. this powerful sativa is not for beginners, as it offers long-lasting stimulating effects often with a potent psychedelic bent. with a terpene profile that is bright with notes of floral spice and tart lemon, its vigorous physical and mental effects make this a sativa of the highest caliber. this strain’s long sativa lineage comes with a long 11 to 14 week flowering time.","minty, lemon, apricot"
902,902,grape calyx,hybrid,5.0,"uplifted, creative, euphoric, happy, hungry","grape calyx by calyx garden is a strain with deep roots in a half-dozen genetic parents. calyx garden has been breeding this strain since 2012 and began by crossing durban poison and master kush. the cross was then combined with sfv og, which was then bred with platinum girl scout cookies. this “suicide girl” strain was then crossed with the rare purple pineapple to create a strain bursting with purple calyxes, appearing similar to a bunch of grapes dusted with trichomes. grape calyx is ideal for consumers seeking to relieve general physical discomfort, stimulate appetite, and enhance their mood.  ","sweet, grape, flowery"
190,190,berts cookie dough,hybrid,5.0,"uplifted, energetic, happy, hungry","bert’s cookie dough by los angeles kush is a heavy cookies phenotype crossed with the renowned west coast mainstay, ogkb. this hybrid was crafted by none other than bert baccarat for lak and thus, the namesake. it offers a classic cookies bouquet of pungent earth and doughy sweetness overlaid with notes of pine. the effects are heavy, weighing consumers to the couch while the warm body effects help alleviate stress, minor pain relief, and insomnia. ",none
905,905,grape dawg,hybrid,5.0,"euphoric, relaxed, hungry, sleepy, giggly","grape dawg is an indica-leaning hybrid created by nebula gardens. this grape phenotype was “mysteriously” given to robert meyer before circulating throughout the pacific northwest and is a cross between lemon kush and alien dawg. this strain’s delicious flavor is contrasted against the strain’s pungent, room filling aroma of sweet gas and citrus. grape dawg’s uplifting mental state coupled with nausea reduction and appetite stimulation make this an enjoyable accompaniment throughout the day, but especially before or after a meal. ","grape, sweet, citrus"
